Date,Price,Open,High,Low,Vol,Change_Short,Change_Long
03/11/2014,116.78,119.83,119.97,116.46,10.34M,-2.64%,
04/11/2014,115.37,115.99,116.02,114.8,9.59M,-1.21%,
05/11/2014,117.05,117.27,117.3,114.86,6.60M,1.46%,
06/11/2014,118.53,116.9,118.55,116.36,6.38M,1.26%,
07/11/2014,118.8,118.75,119.73,118.36,7.37M,0.23%,
10/11/2014,117.92,119.58,119.67,117.31,6.11M,-0.74%,
11/11/2014,118.44,117.95,118.67,117.3,3.96M,0.44%,
12/11/2014,117.65,117.86,118.71,117.38,4.92M,-0.67%,
13/11/2014,116.45,117.09,117.47,115.64,11.02M,-1.02%,
14/11/2014,116.32,115.7,116.35,115.42,4.89M,-0.11%,
17/11/2014,115.75,115.96,116.15,115.27,5.71M,-0.49%,
18/11/2014,115.47,115.97,116.63,115.25,5.68M,-0.24%,
19/11/2014,116.47,115.97,116.68,115.07,4.27M,0.87%,
20/11/2014,117.31,116.16,117.47,116.16,5.27M,0.72%,
21/11/2014,118.58,118.79,118.91,117.73,7.36M,1.08%,
24/11/2014,117.59,118.13,118.58,117.15,5.81M,-0.83%,
25/11/2014,116.15,117.8,117.82,115.63,6.67M,-1.22%,
26/11/2014,115.11,116.07,116.35,115.02,6.72M,-0.90%,
28/11/2014,108.87,111.59,111.69,108.43,11.94M,-5.42%,
01/12/2014,111.73,109.38,112.49,108.68,13.40M,2.63%,
02/12/2014,114.02,111.27,114.56,110.89,8.55M,2.05%,-0.023634184
03/12/2014,113.71,114.74,114.82,113.15,8.06M,-0.27%,-0.014388489
04/12/2014,112.28,113.08,113.08,111.01,8.24M,-1.26%,-0.040751815
05/12/2014,110.87,111.79,112.29,110.71,7.66M,-1.26%,-0.064624989
08/12/2014,106.8,109.89,109.94,106.41,13.81M,-3.67%,-0.101010101
09/12/2014,107.01,106.17,108.15,106.13,11.06M,0.20%,-0.092520353
10/12/2014,104.86,106.22,106.25,103.07,15.07M,-2.01%,-0.11465721
11/12/2014,104.91,104.97,107.27,104.3,10.29M,0.05%,-0.108287293
12/12/2014,102.38,103.76,104.35,102.37,12.01M,-2.41%,-0.120824388
15/12/2014,100.86,103.13,103.91,100.42,13.14M,-1.48%,-0.132909216
16/12/2014,101.7,100.5,104.47,100.15,12.72M,0.83%,-0.121382289
17/12/2014,106.02,102.18,106.59,102.01,13.36M,4.25%,-0.081839439
18/12/2014,109.03,108.01,109.03,105.49,13.53M,2.84%,-0.063879111
19/12/2014,112.93,109.53,112.96,108.5,15.72M,3.58%,-0.03733697
22/12/2014,112.03,112.36,112.99,111.07,9.43M,-0.80%,-0.055236971
23/12/2014,113.95,112.76,114.45,112.32,8.09M,1.71%,-0.030955013
24/12/2014,113.47,113.66,114.14,112.07,4.54M,-0.42%,-0.023073612
26/12/2014,113.25,113.93,114.35,112.82,4.38M,-0.19%,-0.016158457
29/12/2014,113.32,113.44,114.38,112.78,6.04M,0.06%,0.040874437
30/12/2014,113.11,112.93,113.65,112.15,5.66M,-0.19%,0.012351204
31/12/2014,112.18,111.65,113.31,111.53,6.41M,-0.82%,-0.01613752
02/01/2015,112.58,111.63,113,110.85,5.91M,0.36%,-0.00993756
05/01/2015,108.08,110.96,111.2,107.44,11.76M,-4.00%,-0.037406484
06/01/2015,108.03,107.87,109.02,106.48,11.59M,-0.05%,-0.025615586
07/01/2015,107.94,109.25,109.72,107.51,10.35M,-0.08%,0.010674157
08/01/2015,110.41,109.19,110.44,108.6,8.65M,2.29%,0.031772732
09/01/2015,108.21,110.14,110.22,107.67,9.58M,-1.99%,0.031947358
12/01/2015,105.88,107.47,107.47,105.56,8.91M,-2.15%,0.00924602
13/01/2015,104.2,106.92,107.66,103.19,13.28M,-1.59%,0.01777691
14/01/2015,103.9,103.2,104.41,101.83,14.12M,-0.29%,0.030140789
15/01/2015,102.67,104.41,104.94,102.53,9.66M,-1.18%,0.009537856
16/01/2015,105.12,102.47,105.14,102.47,12.60M,2.39%,-0.008488964
20/01/2015,106.47,104.56,106.58,103.81,10.41M,1.28%,-0.023479776
21/01/2015,108.16,106.79,108.27,106.35,8.27M,1.59%,-0.042238555
22/01/2015,108.92,108.76,109.12,106.99,7.47M,0.70%,-0.027760421
23/01/2015,106.85,108.22,108.75,106.73,7.98M,-1.90%,-0.06230803
26/01/2015,108.88,107.22,109.35,106.32,7.67M,1.90%,-0.040451221
27/01/2015,108.26,108.11,108.81,107.63,6.39M,-0.57%,-0.04406181
28/01/2015,103.71,108.16,108.17,103.42,10.53M,-4.20%,-0.084804095
