Date,Price,Open,High,Low,Vol.,Change_Short,Change_Long
03/11/2014,70.56,72.26,72.57,70.47,9.55M,-2.20%,
04/11/2014,68.77,69.2,69.84,68.21,10.96M,-2.54%,
05/11/2014,69.88,69.95,70.25,68.98,7.88M,1.61%,
06/11/2014,71.32,69.72,71.35,69.49,7.76M,2.06%,
07/11/2014,72.16,71.44,72.31,71.4,7.37M,1.18%,
10/11/2014,71.6,72.82,73.22,71.46,7.30M,-0.78%,
11/11/2014,71.75,71.52,71.95,71.07,5.92M,0.21%,
12/11/2014,71.2,71.36,71.88,71.09,5.75M,-0.77%,
13/11/2014,70.35,70.78,71,69.54,7.52M,-1.19%,
14/11/2014,71.41,70.57,71.46,70.49,5.27M,1.51%,
17/11/2014,71.42,71.03,71.77,70.61,5.10M,0.01%,
18/11/2014,71.67,71.53,72.15,71.07,5.31M,0.35%,
19/11/2014,72.13,72.36,72.48,71.32,6.37M,0.64%,
20/11/2014,73.21,72.13,73.25,72.13,5.73M,1.50%,
21/11/2014,73.64,74.47,74.68,73.17,8.94M,0.59%,
24/11/2014,73.33,73.56,73.79,72.66,6.12M,-0.42%,
25/11/2014,71.73,73.9,73.91,71.57,8.91M,-2.18%,
26/11/2014,70.83,71.75,71.75,70.55,7.39M,-1.25%,
28/11/2014,66.07,67.7,68.14,65.65,11.78M,-6.72%,
01/12/2014,67.77,65.93,67.9,65.4,14.03M,2.57%,
02/12/2014,69.21,67.33,69.58,67.24,11.69M,2.12%,-0.019132653
03/12/2014,70.8,69.66,71.22,69.28,11.90M,2.30%,0.029518685
04/12/2014,69.31,70.16,70.43,68.68,10.72M,-2.10%,-0.00815684
05/12/2014,67.85,69.37,69.37,67.47,9.82M,-2.11%,-0.048653954
08/12/2014,65.03,66.98,67.13,64.88,10.16M,-4.16%,-0.098808204
09/12/2014,64.96,64.35,66.25,63.37,12.14M,-0.11%,-0.09273743
10/12/2014,63.54,63.91,64.15,62.83,9.84M,-2.19%,-0.114425087
11/12/2014,63.61,63.3,65.45,63.3,8.18M,0.11%,-0.106601124
12/12/2014,62.45,62.69,63.79,62.31,8.68M,-1.82%,-0.112295665
15/12/2014,61.69,63.28,63.5,61.5,9.82M,-1.22%,-0.13611539
16/12/2014,63.22,61.44,64.98,60.84,12.95M,2.48%,-0.114813778
17/12/2014,66.94,64.14,67.67,64.01,15.36M,5.88%,-0.06599693
18/12/2014,69.75,69.22,69.84,66.66,15.95M,4.20%,-0.032995979
19/12/2014,70.98,69.63,71,68.63,17.82M,1.76%,-0.03046032
