Date,Price,Open,High,Low,Vol.,Change_Short,Change_Long
03/11/2014,95.26,96.56,97.1,94.8,13.41M,-1.50%,
04/11/2014,94.52,94.5,94.89,93.89,13.50M,-0.78%,
05/11/2014,95.07,95.36,95.77,94.65,12.48M,0.58%,
06/11/2014,96.26,95.18,96.42,94.28,14.73M,1.25%,
07/11/2014,96.59,95.8,97.16,95.72,13.23M,0.34%,
10/11/2014,96.28,96.87,97.1,96.07,9.09M,-0.32%,
11/11/2014,96.41,95.78,96.51,95.61,7.99M,0.14%,
12/11/2014,95.38,95.9,96.4,95.11,11.59M,-1.07%,
13/11/2014,94.66,94.96,95.21,93.83,12.36M,-0.75%,
14/11/2014,95.09,94.87,95.11,94.65,9.35M,0.45%,
17/11/2014,95.11,94.85,95.14,94.19,8.70M,0.02%,
18/11/2014,94.87,95.08,95.75,94.53,9.27M,-0.25%,
19/11/2014,95.61,95.08,95.74,94.13,8.33M,0.78%,
20/11/2014,95.82,95.37,95.9,95.26,8.42M,0.22%,
21/11/2014,96.81,97.2,97.2,96.1,12.37M,1.03%,
24/11/2014,95.72,96.34,96.8,95.25,10.17M,-1.13%,
25/11/2014,94.78,96.01,96.03,94.37,13.75M,-0.98%,
26/11/2014,94.48,94.64,95.13,94.36,9.82M,-0.32%,
28/11/2014,90.54,91.5,91.85,90.11,19.56M,-4.17%,
01/12/2014,92.35,90.36,92.87,90.28,27.58M,2.00%,
02/12/2014,94.19,92.32,94.67,92.01,20.89M,1.99%,-0.011232417
03/12/2014,94.95,94.67,95.33,94,16.22M,0.81%,0.004549302
04/12/2014,94.37,94.13,94.61,93.07,13.12M,-0.61%,-0.007362996
05/12/2014,93.82,93.95,94.59,93.35,11.83M,-0.58%,-0.025348016
08/12/2014,91.7,92.9,93.13,91.36,15.74M,-2.26%,-0.050626359
09/12/2014,91.38,91.23,92.06,90.76,15.88M,-0.35%,-0.050893228
10/12/2014,88.67,90.72,90.73,88.2,22.28M,-2.97%,-0.080282128
11/12/2014,89.2,88.86,91.54,88.85,21.52M,0.60%,-0.064793458
12/12/2014,86.6,88.71,89,86.6,24.57M,-2.91%,-0.085146841
15/12/2014,86.9,87.53,88.6,86.5,21.37M,0.35%,-0.08612893
16/12/2014,86.41,86.38,89.2,86.19,26.37M,-0.56%,-0.091473031
17/12/2014,89.02,87.24,89.9,87.15,23.32M,3.02%,-0.061663329
18/12/2014,91.16,90.37,91.16,88.4,22.88M,2.40%,-0.046543249
19/12/2014,93.64,90.21,93.64,89.61,38.47M,2.72%,-0.022750991
22/12/2014,93.33,92.96,93.67,92.45,17.87M,-0.33%,-0.0359467
23/12/2014,94.59,93.52,95.18,93.05,13.71M,1.35%,-0.011805265
24/12/2014,93.78,94.22,94.25,92.98,6.88M,-0.86%,-0.010550749
26/12/2014,93.21,93.99,94.43,92.62,10.58M,-0.61%,-0.013441998
29/12/2014,93.07,93.33,93.86,92.89,9.89M,-0.15%,0.02794345
30/12/2014,93.02,92.77,93.39,92.51,8.74M,-0.05%,0.007255008
31/12/2014,92.45,92.42,93.13,92.06,11.34M,-0.61%,-0.018473299
02/01/2015,92.83,92.25,93.05,91.81,10.22M,0.41%,-0.022327541
05/01/2015,90.29,92.1,92.4,89.5,18.50M,-2.74%,-0.043234079
06/01/2015,89.81,90.24,91.41,89.02,16.67M,-0.53%,-0.04274142
07/01/2015,90.72,90.65,91.48,90,13.59M,1.01%,-0.010687023
08/01/2015,92.23,91.25,92.27,91,15.49M,1.66%,0.009301817
09/01/2015,92.1,92.3,92.78,91.37,14.49M,-0.14%,0.038682756
12/01/2015,90.33,91.24,91.34,89.82,15.18M,-1.92%,0.012668161
13/01/2015,90,90.88,91.43,89.11,17.47M,-0.37%,0.03926097
14/01/2015,89.74,88.95,89.89,87.26,23.27M,-0.29%,0.032681243
15/01/2015,88.96,90.43,90.66,88.51,18.76M,-0.87%,0.029510473
16/01/2015,91.12,88.98,91.19,88.98,17.71M,2.43%,0.023590204
20/01/2015,91.09,91.14,91.78,90.38,16.76M,-0.03%,-0.000767881
21/01/2015,91.87,91.74,91.99,91.01,14.28M,0.86%,-0.018902179
22/01/2015,92.87,92.31,92.97,91.32,13.56M,1.09%,-0.004928747
23/01/2015,90.89,92.28,92.48,90.78,14.71M,-2.13%,-0.039116186
26/01/2015,91.76,90.61,91.94,90.47,10.67M,0.96%,-0.021539774
27/01/2015,90.95,91.24,91.6,90.6,12.30M,-0.88%,-0.024246326
28/01/2015,87.95,90.88,90.93,87.82,17.83M,-3.30%,-0.055012356
29/01/2015,87.58,88.22,88.26,86.03,22.68M,-0.42%,-0.058482047
30/01/2015,87.42,87.16,88.42,86.25,22.68M,-0.18%,-0.054407788
