Date,Price,Open,High,Low,Vol.,Change_Short,Change_Long
03/11/2014,45.81,45.69,46.26,45.55,10.48M,0.79%,
04/11/2014,45.31,45.76,46.41,45.08,8.18M,-1.09%,
05/11/2014,45.35,45.49,45.95,44.81,6.51M,0.09%,
06/11/2014,46.56,45.59,46.61,45.55,7.23M,2.67%,
07/11/2014,47.04,46.64,47.04,46.17,7.03M,1.03%,
10/11/2014,47.05,47.25,47.59,46.74,6.70M,0.02%,
11/11/2014,47.31,47,47.67,46.58,5.73M,0.55%,
12/11/2014,47.51,47.23,47.8,47.07,5.96M,0.42%,
13/11/2014,46.77,47.17,47.39,46.18,6.88M,-1.56%,
14/11/2014,46.19,47.04,47.36,46.17,7.13M,-1.24%,
17/11/2014,46.26,45.94,46.83,45.85,9.02M,0.15%,
18/11/2014,46.94,46.46,47.32,46.17,8.15M,1.47%,
19/11/2014,46.9,47,47.38,46.55,8.84M,-0.09%,
20/11/2014,47.58,46.88,47.79,46.81,6.16M,1.45%,
21/11/2014,48.46,48.22,48.97,47.98,8.87M,1.85%,
24/11/2014,48.06,48.34,48.69,47.95,4.76M,-0.83%,
25/11/2014,47.62,48.29,48.45,47.56,5.58M,-0.92%,
26/11/2014,47.84,47.66,48.26,47.53,3.29M,0.46%,
28/11/2014,45.05,46.63,46.63,44.83,7.65M,-5.83%,
01/12/2014,45.4,44.7,45.6,44.62,6.45M,0.78%,
02/12/2014,47.07,45.36,47.55,45.25,9.01M,3.68%,0.027504912
03/12/2014,48.01,47.09,48.56,47.09,6.80M,2.00%,0.059589495
04/12/2014,48.34,48.5,48.55,47.24,5.12M,0.69%,0.065931643
05/12/2014,46.08,48.18,48.58,45.99,9.28M,-4.68%,-0.010309278
08/12/2014,44.36,45.66,46.15,44.13,7.80M,-3.73%,-0.056972789
09/12/2014,44.38,43.84,44.45,43.05,14.89M,0.05%,-0.05674814
10/12/2014,42.53,43.74,44.24,41.83,10.56M,-4.17%,-0.101035722
11/12/2014,41.94,42.62,43.37,41.85,8.59M,-1.39%,-0.117238476
12/12/2014,41.6,40.24,42.58,40.24,7.72M,-0.81%,-0.110540945
15/12/2014,40.69,41.74,42.1,40.58,7.76M,-2.19%,-0.119073393
16/12/2014,41.1,40.38,42.08,40,6.13M,1.01%,-0.11154345
17/12/2014,42.37,40.88,42.72,40.61,7.40M,3.09%,-0.09735833
18/12/2014,42.02,43.09,43.19,40.79,6.88M,-0.83%,-0.104051173
19/12/2014,43.6,42.33,43.66,42.06,8.38M,3.76%,-0.083648592
22/12/2014,43.65,43.23,43.8,42.81,5.98M,0.11%,-0.099257119
23/12/2014,44.19,44.06,44.42,43.63,3.63M,1.24%,-0.080524345
24/12/2014,44.31,43.98,44.55,43.6,2.57M,0.27%,-0.06950861
26/12/2014,44.86,44.42,45.37,44.34,3.19M,1.24%,-0.06229097
29/12/2014,45.53,45.05,45.62,44.98,4.70M,1.49%,0.010654828
30/12/2014,45.32,45.25,45.83,45.2,4.36M,-0.46%,-0.001762115
31/12/2014,45.13,45.48,45.55,45.09,3.20M,-0.42%,-0.041215211
02/01/2015,45.82,44.77,45.94,44.77,5.36M,1.53%,-0.045615497
05/01/2015,44.55,45.42,45.65,43.92,10.49M,-2.77%,-0.078402979
06/01/2015,44.1,44.56,45.16,43.61,5.60M,-1.01%,-0.04296875
07/01/2015,44.47,44.82,44.82,43.82,7.01M,0.84%,0.002479711
08/01/2015,45.52,44.98,45.74,44.75,7.00M,2.36%,0.025687247
09/01/2015,44.24,45.44,45.59,44.18,5.37M,-2.81%,0.040206913
12/01/2015,42.71,43.73,44.08,42.51,8.26M,-3.46%,0.018359561
13/01/2015,40.43,42.47,43.21,40.11,12.58M,-5.34%,-0.028125
14/01/2015,38.81,40.01,40.02,37.98,14.33M,-4.01%,-0.046202998
15/01/2015,38.42,38.98,39.12,37.62,9.46M,-1.00%,-0.065206813
16/01/2015,38.78,38.61,39.34,38.52,9.14M,0.94%,-0.084729762
20/01/2015,40.21,38.73,40.37,38.73,7.45M,3.69%,-0.043074726
21/01/2015,40.48,40.23,40.88,40.01,7.16M,0.67%,-0.071559633
22/01/2015,41.98,40.85,42.13,40.48,7.92M,3.71%,-0.038258877
23/01/2015,43.58,42.09,44.25,41.78,9.28M,3.81%,-0.013804028
26/01/2015,44.09,43.58,44.28,43.58,6.27M,1.17%,-0.004965019
27/01/2015,44.34,43.74,44.47,43.69,4.70M,0.57%,-0.011591618
28/01/2015,44.65,44.5,45.28,43.95,8.43M,0.70%,-0.019327916
29/01/2015,45.01,45.16,45.62,44.09,5.21M,0.81%,-0.006840247
30/01/2015,46.3,44.51,46.7,44.41,9.76M,2.87%,0.025925105
02/02/2015,46.97,46.42,46.99,45.48,6.28M,1.45%,0.02509821
03/02/2015,47.91,47.04,47.91,46.64,8.43M,2.00%,0.075420875
04/02/2015,48.09,48.01,48.6,47.17,9.12M,0.38%,0.09047619
05/02/2015,48.65,48.47,49.12,48.1,6.99M,1.16%,0.093995952
06/02/2015,49.44,48.67,49.96,48.4,9.89M,1.62%,0.086115993
09/02/2015,50.09,49.33,50.23,49.11,8.39M,1.31%,0.132233273
10/02/2015,51.09,50.24,51.3,49.38,9.03M,2.00%,0.196206977
11/02/2015,50.46,50.6,50.99,50.09,5.34M,-1.23%,0.248083107
12/02/2015,50.7,50.94,50.97,50.1,6.36M,0.48%,0.306364339
13/02/2015,51.74,50.88,51.77,50.7,5.89M,2.05%,0.34669443
17/02/2015,51.91,51.63,52.3,50.88,6.65M,0.33%,0.338576586
18/02/2015,52.31,51.67,52.35,51.25,4.86M,0.77%,0.300920169
19/02/2015,52.83,52.08,52.94,51.88,5.25M,0.99%,0.305088933
20/02/2015,52.78,52.83,53.48,52.16,6.48M,-0.09%,0.257265364
23/02/2015,53.17,52.77,54.06,52.58,5.05M,0.74%,0.220055071
24/02/2015,52.59,53.33,53.4,52.08,5.08M,-1.09%,0.19278748
25/02/2015,52.33,52.7,53.24,51.97,5.20M,-0.49%,0.180198466
26/02/2015,53.52,52.35,54.16,52.35,6.90M,2.27%,0.198656215
27/02/2015,52.5,53.56,54.1,52.48,4.39M,-1.91%,0.166407465
02/03/2015,50.89,52.05,52.05,50.63,9.26M,-3.07%,0.099136069
03/03/2015,51.38,51.31,51.84,50.92,7.10M,0.96%,0.093889717
04/03/2015,51.01,51,51.51,50.44,5.46M,-0.72%,0.064704655
05/03/2015,50.88,51.18,51.53,50.84,3.76M,-0.25%,0.05801622
06/03/2015,49.24,50.51,51.3,49.19,4.59M,-3.22%,0.012127441
09/03/2015,49.88,49.55,50.95,49.35,5.03M,1.30%,0.008899676
10/03/2015,48.06,49.36,49.38,48,6.26M,-3.65%,-0.040527051
11/03/2015,48.44,48.18,48.76,47.78,5.48M,0.79%,-0.05186925
12/03/2015,47.84,48.95,49.58,47.73,4.57M,-1.24%,-0.051922315
13/03/2015,48.1,48.26,48.65,47.74,4.50M,0.54%,-0.051282051
16/03/2015,49.03,47.83,49.06,47.15,4.74M,1.93%,-0.052377271
17/03/2015,48.87,48.51,48.98,48,3.54M,-0.33%,-0.058562897
18/03/2015,50.51,48.75,50.7,48.66,5.11M,3.36%,-0.034410247
19/03/2015,50.03,50.08,50.33,49.75,3.17M,-0.95%,-0.053000189
20/03/2015,51.13,50.26,51.42,50,7.78M,2.20%,-0.031261842
23/03/2015,51.21,51.33,51.9,51.19,5.24M,0.16%,-0.036862893
24/03/2015,50.85,51.04,51.63,50.75,3.94M,-0.70%,-0.033086138
25/03/2015,51.54,51.4,52.43,51.35,6.38M,1.36%,-0.015096503
26/03/2015,50.44,51.87,51.97,50.37,4.39M,-2.13%,-0.05754858
27/03/2015,49.83,50.7,50.79,49.63,4.89M,-1.21%,-0.050857143
30/03/2015,51.45,50.2,51.53,50.2,4.50M,3.25%,0.011004127
31/03/2015,51.2,51.06,52.03,50.84,5.78M,-0.49%,-0.003503309
01/04/2015,50.88,51.38,51.82,50.66,5.43M,-0.62%,-0.00254852
02/04/2015,48.54,50.81,51.02,48.45,8.62M,-4.60%,-0.045990566
06/04/2015,49.27,48.81,49.82,48.48,5.11M,1.50%,0.000609261
