Date,Price,Open,High,Low,Vol.,Change_Short,Change_Long
03/11/2014,96.52,98.02,99.18,96.16,7.75M,-2.17%,
04/11/2014,94.16,95.52,95.52,93.44,9.57M,-2.45%,
05/11/2014,96.64,94.58,97.15,94.15,7.44M,2.63%,
06/11/2014,96.98,95.5,97.08,94.1,9.51M,0.35%,
07/11/2014,98.73,97.39,99.93,97.27,7.83M,1.80%,
10/11/2014,98.29,99.45,100.54,98.18,7.97M,-0.45%,
11/11/2014,98.36,98.37,98.49,96.75,6.11M,0.07%,
12/11/2014,97.43,97.75,99.69,97.24,6.68M,-0.95%,
13/11/2014,94.85,96.61,97.47,92.72,18.12M,-2.65%,
14/11/2014,95.32,96.26,96.85,94.42,11.82M,0.50%,
17/11/2014,95.63,95.25,96.5,94.94,8.50M,0.33%,
18/11/2014,95.28,96.67,96.67,94.95,5.98M,-0.37%,
19/11/2014,95,95.12,95.75,93.93,6.55M,-0.29%,
20/11/2014,96.14,95,96.25,94.66,8.20M,1.20%,
21/11/2014,97.87,98.08,98.75,96.8,9.29M,1.80%,
24/11/2014,98.45,98.71,99.21,97.97,10.32M,0.59%,
25/11/2014,95.2,98.81,99.02,95.05,10.73M,-3.30%,
26/11/2014,92.81,94.83,94.91,92.3,9.88M,-2.51%,
28/11/2014,85.95,86.3,86.68,83.25,18.88M,-7.39%,
01/12/2014,84.84,84.53,85.82,82.66,18.08M,-1.29%,
02/12/2014,85.22,85.06,86.1,83.83,13.76M,0.45%,-0.117074182
03/12/2014,86.76,85.77,87.17,85.1,11.47M,1.81%,-0.078589635
04/12/2014,87.43,86.08,88.16,85.4,9.01M,0.77%,-0.095302152
05/12/2014,87.16,87.21,88.16,86,8.98M,-0.31%,-0.101257991
08/12/2014,84.21,86.04,86.18,83.91,11.31M,-3.38%,-0.147067761
09/12/2014,85.47,83.31,85.53,82.9,10.60M,1.50%,-0.130430359
10/12/2014,83.17,83.99,84.06,82.13,11.17M,-2.69%,-0.154432696
11/12/2014,83.01,82.95,85.2,82.75,12.33M,-0.19%,-0.148003695
12/12/2014,80,82.05,82.85,79.73,17.71M,-3.63%,-0.156562994
15/12/2014,79.9,80.24,81.83,79.84,11.16M,-0.12%,-0.161770877
16/12/2014,80.19,78.87,83.41,78.47,16.03M,0.36%,-0.16145561
17/12/2014,82.88,81.17,84.43,80.25,13.90M,3.35%,-0.130142737
18/12/2014,84.23,85.25,85.52,82.07,13.26M,1.63%,-0.113368421
19/12/2014,87.52,84.31,87.72,84.02,15.49M,3.91%,-0.089660911
22/12/2014,86.75,87.34,87.8,85.9,10.56M,-0.88%,-0.113620108
23/12/2014,87.32,87.1,87.69,86.26,8.38M,0.66%,-0.113052311
24/12/2014,87.06,86.76,87.64,85.6,3.62M,-0.30%,-0.085504202
26/12/2014,87.13,87.55,88.03,86.52,4.84M,0.08%,-0.061200302
29/12/2014,87.35,87.4,88.09,86.56,5.87M,0.25%,0.01628854
30/12/2014,86.44,87.06,87.2,86.05,6.12M,-1.04%,0.018859029
31/12/2014,85.41,85.72,86.43,84.8,5.35M,-1.19%,0.002229524
02/01/2015,85.67,84.81,86.2,84.62,5.50M,0.30%,-0.012563393
05/01/2015,83.35,84.4,84.4,82.59,10.04M,-2.71%,-0.046665904
06/01/2015,81.72,82.94,83.36,80.66,9.76M,-1.96%,-0.062413951
07/01/2015,81.71,82.55,82.66,80.53,7.95M,-0.01%,-0.029687686
08/01/2015,82.7,82.49,83.29,81.94,7.91M,1.21%,-0.032409032
09/01/2015,81.22,83.28,83.37,80.58,7.65M,-1.79%,-0.023445954
12/01/2015,78.05,79.13,79.13,76.73,13.26M,-3.90%,-0.059751837
13/01/2015,77.78,78,79,77.03,11.94M,-0.35%,-0.02775
14/01/2015,78.39,75.99,78.56,75.6,12.23M,0.78%,-0.018898623
15/01/2015,76.63,78.74,79.16,76.42,10.92M,-2.25%,-0.044394563
16/01/2015,81.33,77.48,81.52,77.47,17.59M,6.13%,-0.018701737
20/01/2015,80.48,80.38,80.94,78.9,10.95M,-1.05%,-0.044520955
21/01/2015,82.21,80.42,82.64,79.6,9.18M,2.15%,-0.060671846
22/01/2015,82.14,82.94,83.12,80.71,9.04M,-0.09%,-0.05314121
23/01/2015,82,81.93,83.2,81.6,8.03M,-0.17%,-0.060925332
26/01/2015,83.68,82.06,84.1,81.55,7.06M,2.05%,-0.0388238
27/01/2015,84.55,82.72,85,82.72,7.33M,1.04%,-0.029610926
28/01/2015,80.75,84.2,84.24,80.53,10.04M,-4.49%,-0.0755581
29/01/2015,81.9,81.16,82.06,79.52,9.04M,1.42%,-0.052521981
30/01/2015,82.39,81.34,83.82,80.77,9.95M,0.60%,-0.035358857
02/02/2015,84.64,83.99,84.75,82.5,9.43M,2.73%,-0.012022878
03/02/2015,87.08,85.99,88.08,85.87,15.91M,2.88%,0.04475105
